NM	Never mind
AWGTHTGTTA	Are We Going To Have To Go Through This Again
I'm not stepping with anyone this summer that makes face if ask em to take a pic of me , do 1 m8.	I'm not stepping with anyone this summer that makes face if ask them to take a picture of me , do one mate.
yrw! have Storm pic to brighten ur morning	you are welcome! have Storm picture to brighten your morning
NIFOC	Naked in front of computer
PMFI	Pardon me for interrupting
PPU	Pending pick-up
YGLT	You are Going to Love This
PMFJI	Pardon me for jumping in
Don't msg me on sc	Don't message me on snapchat
ok thx bro	ok thanks brother
some1	some one
something nasty asl	something nasty asl hell
bout	about
btw your acc is blocked	By The Way your account is blocked
I'm a lil shy to talk to this qt	I'm a lilttle shy to talk to this cutie
Bro plz msg me in what's app	Brother please message me in what's app
ima be waiting for u just lmk when u otw ima be waiting at the spot	I will be waiting for you just let me know when you on the way I will be waiting at the spot
pg	Parental Guidance
SH^	Shut up
I actually say that shit irl lmao	I actually say that shit in real life Laughing out loud
PTIYPASI	Put that in your pipe and smoke it
I'm saying this as if someone's gunna randomly hmu at 3:42 am lmao	I'm saying this as if someone's going to randomly hit me up at 3:42 am Laughing out loud
MRT You If you're brave nuff 2 say goodbye , life will reward u w/ a new hello	Modified ReTweet (Twitter slang) You If you're brave enough to say goodbye , life will reward you with a new hello
He was the only one who enjoyed the play, afair	He was the only one who enjoyed the play, As Far As I Remember
VEG	Very evil grin
tbh you're always on my tl and thats great ‘cause my tl is always on rock	to be honest you're always on my Timeline (twitter) and thats great because my Timeline (twitter) is always on rock
ex	former boyfriend (or girlfriend)
omg this vieos are hilarious ssif	oh my god this vieos are hilarious so stupid it's funny
WHY PUT THAT PD FACE ON MY TL	WHY PUT THAT Police department FACE ON MY Timeline (twitter)
u kno ur gonna be single 4ever	you know you are gonna be single forever
YWHNB	Yes, we have no bananas
IMA	I am a
feel me	understand me
Did you know that birds fly? Orly	Did you know that birds fly? oh really?
Correct Me If I am Wrong but r you goin out tn	Correct Me If I am Wrong but are you going out tonight 
tryna cut my nails w my fingers wbu	trying to cut my nails with my fingers what about you
if u a qt boi dm me	if you a cutie boy send direct message (on twitter) me
OMGYG2BK	Oh my God, you got to be kidding
ne1 in their right mind can see that	Anyone in their right mind can see that
OMG TQ FOR TELLINH ME THIS!	Oh my god I love you (in spanish) FOR TELLINH ME THIS!
IMCO	In My Considered Opinion
Idk how you put up w me. Thx doe	I do not know how you put up with me. Thanks though
dont be silly omg ur the cutest	dont be silly oh my god you are the cutest
they are not allowed to come 2 tc of me	they are not allowed to come to take care of me
WMMOWS	Wash My Mouth Out With Soap
M8	Mate
R8	Rate
LWOS i block so many ppl	Laughing without smiling i block so many ppl
Ima DM u his info	I will send direct message (on twitter) you his info
Wtf does this even mean like r u thick	What the fuck does this even mean like are you thick
Imma be tired asl tomorrow	I Am Going To be tired as hell tomorrow
Wth is wrong w the internet plz i have to see my bby before going to bed	What the hell is wrong with the internet please i have to see my baby before going to bed
i say fuck em all till im dead	i say fuck them all untill im dead
O	Oh
pics	pictures
u ppl will nt b able to save thm	you people will not be able to save thm
TNSTAAFL	There's no such thing as a free lunch
Idk if I’m just placebo-ing myself loti	I do not know if I’m just placebo-ing myself Laughing on the inside
I forgot my wallet in the car bbl	I forgot my wallet in the car be back later
what y'all tweeting rn is something false	what you all tweeting right now is something false
SOMY	Sick of me yet?
U choose ur decision imao	you choose your decision in my Arrogant opinion
I got to go TTFN	I got to go Bye Bye for now
YR	Your
WT	Without Thinking
Buy my trip to London pls xoxo	Buy my trip to London please Kisses and Hugs
CYA next week B4N	see you next week bye for now
W/O	Without
TYCLO	Turn Your CAPS LOCK Off (Stop Shouting)
Idk if ppl have suggested but p2p is ur best option	I donot know if people have suggested but peer to peer is your best option
tha big game iz tomorrow so BTOBD	the big game is tomorrow so Be There Or Be Dead
Idk Wth you had going on	I do not know What the hell you had going on
idk what u say but ur cute af	I do not know what you say but you are cute as fuck
I don't understand what's the BFD here	I don't understand what's the Big Frickin Deal here
NFW	No Fucking Way
cuz	because
I am going to bed now suitm	I am going to bed now See you in the morning
What a bunch of assholes, pmf	What a bunch of assholes, pardon my French
he was a sk8erboi she said see you later boi	he was a Skater Boy she said see you later boy
lol i don't kno half of the kpop stuffs on my tl now	Laughing out loud i don't know half of the korean pop stuffs on my time line now
WK	Week
FITB	Fill In The Blank
PD	Public Domain
I need a network adaptor that will fit the PCMCIA slot on my laptop	I need a network adaptor that will fit the Personal Computer Memory Card slot on my laptop
i love ur hair gal ur the one mwah	i love your hair girl you are the one kiss
be careful with your words now, you now she is hoyew	be careful with your words now, you now she is Hanging On Your Every Word
It's a BWQ	it's a Buzz Word Quotient
bak	back
NOWL	Knowledge
s/o to my co-students pls once u borrowed something pls take care of it	shout out to my co-students please once you borrowed something please take care of it
MGB	May God bless
X	Kiss
YCT	Your comment to
1c u go black u never go back	once you go black you never go back
4ur	for your
That's his lil homie lol	That's his lilttle friend Laughing out loud
wycm when you get home?	will you call me when you get home?
PLZTLME	Please tell me
I get in a rut , i feel depressed	I get in a uncomfortable situation (or place) , i feel depressed
omg nikki wow i love you thnx 4 puttin up w me all these yrs	oh my god nikki wow i love you thanks for puttin up with me all these years
FUD	Fear, Uncertainty and Doubt
PTMM	Please tell me more
IKWUM	I Know What You Mean
Have u been watching at all? IMNSHO, miracle is the reason they are bak together	Have you been watching at all? In My Not So Humble Opinion, miracle is the reason they are back together
TYFYC	Thank you for your comment
Idk y but suddenly im hearing titanic ost as backsound	I do not know why but suddenly im hearing titanic original soundtrack as backsound
not today, a friend puks for me	not today, a friend Pick up kids for me
AWHFY	Are We Having Fun Yet
wait right here, I will bbiaf	wait right here, I will be back in a few
when she ask "do I look fat?" and ut2l to answer that's a problem	when she ask "do I look fat?" and you take too long to answer that's a problem
you are the best thing ever happened to me LYSM	you are the best thing ever happened to me Love you so much
Btw wrong info. I tried it before n Not my fav	By the way wrong info. I tried it before and Not my favorite
PRW	People / parents are watching
TYAFY	Thank you and fuck you
OG	Original gangster
P2P	Peer to peer
RW	Real world
omg transl8 this 4 me plz	oh my god translate this for me please
mayb some1 cool got it	maybe some one cool got it
P911	Parents coming into room alert
Rip lil homie	rest in peace little friend
TIR	Teacher in room
H4U	Hot For You
Baby i am waiting for ur msg	Baby i am waiting for your message
living it up in the qc	living it up in the province of Quebec
Have u been watching at all? IMCO, miracle is the reason they are bak together	Have you been watching at all? In My Considered Opinion, miracle is the reason they are back together
DM ME ASAP	send direct message (on twitter) me as soon as possible
idk how to sound out words most of the time tbh	I do not know how to sound out words most of the time to be honest
Tbh I always watch with subtitles cuz I wanna eat snacks	To be honest I always watch with subtitles becuse I wanna eat snacks
RUMOF	Are you male or female
hi, my name is jessucs I'm from Queens. WAYF	hi, my name is jessucs I'm from Queens. Where are you from?
tw	twitter
RME	Rolling my eyes
imma draw rn	I am going to draw right now
UL	Upload
I'm also talking about Black Panther w my friend lmfao	I'm also talking about Black Panther with my friend Laughing out loud
NVM	Never mind
MC	Rapper
WUZ	was
Idk what he was talking bout when he made lovers and frnds lol jk jk	I do not know what he was talking about when he made lovers and friends laughing out loud just kidding just kidding
acct	account
h8	hate
Good wbu ??? Come hang out w/ me pls	Good what about you ??? Come hang out with me please
i'm following like 2 ppl now	i'm following like two people now
W3	WWW (Web address)
WTG	Way to go
btw i'm reinventing the internet guys. nbd	by the way i'm reinventing the internet guys. not big deal
TBH	To be honest
URE	your
it is a BWQ	it is a Buzz Word Quotient
i'm bored asl wyd	i'm bored as hell What are you doing?
and then he just said "tlk2ul8r gal" with a wink!	and then he just said "talk to you later girl" with a wink!
Check out the XLR8 Athletix Workout of the Day	Check out the Excelerate Athletix Workout of the Day
BYOB to my wedding	Bring Your Own Bottle to my wedding
mf	motherfucker
GF	Girlfriend
TOBAL	There Oughta Be A Law
GD&RF	Grinning, Ducking and Running Fast
YR	Year
Omg so true btw love u... ur my inspiration	Oh my god so true by the way love you... You are my inspiration
ya gal is otw to school	your girl is on the way to school
n00b	Not skilled person
LWOS	Laughing without smiling
TUI	Turning you in
CMIIW but r u goin out tn	Correct Me If I am Wrong but are you going out tonight 
let me CWYL	let me chat with you later
tbh I'm drunk af rn lol	to be honest I'm drunk as fuck right now laughing out loud
bb	baby
IMA using CPP	I am using C++ program language
2 beau rooms ready to move in! ASAP London	two beautiful rooms ready to move in! as soon as possible London
I will luv u m8	I will love you mate
I g2g TTFN	I got to go Bye Bye for now
SNERT	Snot nosed egotistical rude teenager
1c	once
I prolly say that every day lmao	I probably say that every day laughing out loud
NTW	Not To Worry
HHOK	Ha Ha Only Kidding
OTF	On the Floor (laughing)
This is total BS	This is total Bullshit
ANFSCD	And Now For Something Completely Different
RX	Regards
This is ROFL	This is Rolling on floor laughing
NSFW	Not safe for work
hhok imma fight ur ugly ass	Ha Ha Only Kidding I am going to fight your ugly ass
n	and
THIS GUY IS RLLY ADORABLE I RLLY LIKE HIM TBH	THIS GUY IS REALLY ADORABLE I REALLY LIKE HIM to be honest
Ima not very familiar w em	I am not very familiar with them
I feel sad for u guys. And I doubt abt ur eyes.	I feel sad for you guys. And I doubt about your eyes.
2 u	to you
PIP	Peeing in pants (laughing hard)
Omg im in luv with ur acct its amazin'	Oh my god im in love with your account its amazing
send me your acct number ASAP	send me your account number as soon as possible
I LYSM that it Beats The Hell Out Of Me	I love you so much that it Beats The Hell Out Of Me
They're not completely color blind afaik they can see some colors	They're not completely color blind as far as I know they can see some colors
it's usually ppl who have been shitty af , not ppl who are nice	it's usually people who have been shitty as fuck , not people who are nice
tbh this place is flooded with bs	to be honest this place is flooded with bollshit
I love it so much, it BTHOM	I love it so much, it Beats The Hell Out Of Me
ROTFL	Rolling on the floor laughing
STR8	Straight
TARFU	Things Are Really fucked Up
REHI	Hi again
LOLO	Lots of love
NVR	Never
goodmorning bitch, wyd bitch, tf bitch lmao	goodmorning bitch, what are you doing bitch, the fuck bitch laughing out loud
Tbh idk wtf is wrong with me	To be honest I do not know what the fuck is wrong with me
WH5	Who, what, when, where, why
IT ONLY TOOK 2 DAYS BEAT THAT LOSERS LMAO hhok LUV YOU GUYS	IT ONLY TOOK TWO DAYS BEAT THAT LOSERS Laughing out loud Ha Ha Only kidding LOVE YOU GUYS
fav	favorite
they say I can not do this and I say "orly"	they say I can not do this and I say "oh really?"
BBIAB	Be Back In A Bit
OMG	Oh my God
CMIIW but r u goin out tonight	Correct Me If I am Wrong but are you going out tonight 
you looks pale, ruok	you looks pale, are you okay
nite	night
PG	rude and offensive
PTO	Paid time off
SH	Same here
RFN	Right fucking now
will u msg me b4 u sleep	will you message me before you sleep
this has 2b done b4 noon	this has to be done before noon
J4F	Just For Fun
W/END	Weekend
HSIK	How Should I Know
WAN2TLK	Want to talk
KWIM	Know What I Mean
SRY	Sorry
and then we all will going to eat some pza	and then we all will going to eat some pizza
CMIIW but r u goin out 2nite	Correct Me If I am Wrong but are you going out tonight 
IIWM	If It Were Me
SDMB	Sweet dreams, my baby
Ur looking xlnt in tht dress	you are looking Excellent in that dress
lmao omg did we get away with it? n I've been stressed w/ school , wbu	laughing out loud oh my god did we get away with it? and I've been stressed with school , what about you
stfu w ur complaints , ya esp if ur not giving solutions	shut the fuck up with your complaints , yeah (yes) especially if you are not giving solutions
TTYAWFN	Talk To You A While From Now
YHBW	You have been warned
SOL	Sooner or later
HHOS	Ha Ha Only Serious
TDTM	Talk dirty to me
I lyk it cause it fit xlnt for a 1st yr guy	I like it because it fit excellent for a 1st year guy
BTOBD	Be There Or Be Dead
I C ur true colors	I see your true colors
WTB	Want to buy
NP	No problem
SIHTH	Stupidity is hard to take
argg	express anger
LOL	Laughing Out Loud
NSA	No strings attached
Tryin 2 See If Ima Get Dis Message	Trying to See If I will Get this Message
Lol idk why I read AM and not PM	Laughing Out Loud I do not know why I read AM and not PM
my valentine has a gf and plays w my heart on the daily wbu	my valentine has a girlfriend and plays w my heart on the daily what about you
I assume you know a little about the PROGGY	I assume you know a little about the computer program
don’t make such a BFD out of it	don’t make such a Big Frickin Deal out of it
hehe	laughing
TAUMUALU	Thinking about you miss you always love you
Oh damn RIP bro	Oh damn rest in peace brother
Lmfao this nigga tryna tell me I'm from south hill	Laughing out loud this black man (offensive) trying tell me I'm from south hill
VIP	Very important person
1c I wuz seven yrs old	once I was seven years old
stop growing pls ur my baby sis	stop growing please you are my baby sister
fck	fuck
W8	Wait
MOF, he did win it back in the game but gave it back right after	matter of fact, he did win it back in the game but gave it back right after
Have u been watching at all? IMAO, miracle is the reason they are bak together	Have you been watching at all? In My Arrogant Opinion, miracle is the reason they are back together
2M2H	too much to handle
PRON	pornography
Who were you with last night? Myob	Who were you with last night? Mind your own business
R u happy with the life u livin	are you happy with the life you living
FOMC	Fell Off My Chair
Y DO WHITE PPL AUDITION FOR COMPANIES LIKE YG, JYP, AND SM. Lyk tf u doing?	why DO WHITE People AUDITION FOR COMPANIES LIKE YG, JYP, AND SM. Like the fuck you doing?
LOA	List of acronyms
u think I don't care? Well… AAMOF I rly don't	u think I don't care? Well… As A Matter Of Fact I really don't
I prolly say that every day lmho	I probably say that every day laughing my head off
WRK	Work
I Cant stand when mfs wants to talk early asl in the morning	I Cant stand when motherfucker wants to talk early as hell in the morning
WDALYIC	Who died and left you in charge
pls share this acc with ur frnds	please share this account with your friends
WKD	Weekend
OMG I'M SHAKING WHILE FILMING OMG THE MC DID HIS JOB WELL	OH MY GOD I'M SHAKING WHILE FILMING OH MY GOD THE RAPPER DID HIS JOB WELL
ppl rly think pc music is rly that deep or something	people really think pc music is really that deep or something
BTAIM, I still need to have the shoes shined	Be That As It May, I still need to have the shoes shined
I hate to break it to you but, your computer is BBR	I hate to break it to you but, your computer is Broken Beyond Repair
once the new iphone finish the qc I will bought it	once the new iphone finish the Quality control I will bought it
wtf with you guys	What the fuck with you guys
SWAK	Sent with a kiss
OMG My mom is calling me for dinner so BCNU	Oh my God my mom is calling me for dinner so be seeing you
Ima in da game ova 25 yrs	I am in the game over 25 years
wtf r u talking bout	what the fuck are you talking about
justin bieber ytb ily	justin bieber you're the best I love you
CYAL8R	See You All Later
CU2	See You Too
AWGTHTGTTA?! I am too tired for this	Are We Going To Have To Go Through This Again?! I am too tired for this
UR	Your
Srsly i want to hug him he is so qt omg	Seriously i want to hug him he is so cutie oh my god
TANJ! I left the oven on	There is not Justice! I left the oven on
wat	what
NADT	Not a darn thing
NMH	Not much here
Hi how do U get a BOI to notice u without having to msg or talk to him	Hi how do you get a boy to notice you without having to message or talk to him
ily ur one of my fav	I love you you are one of my favorite
annie ruok	annie are you okay
i rly care abt you	I really care about you
faggot	gay man (offensive)
PBOOK	Phonebook (e-mail)
TANSTAAFL	There is not Such Thing As A Free Lunch
Oh yeah just a sec	Oh yeah just a second
TPM	Tomorrow PM
HT	Hi There
BION I love it	Believe it or not I love it
Did I really leave my wallet at home? fml	Did I really leave my wallet at home? fuck my life
End of the day if I get this imma be happy Asl	End of the day if I get this I am going to be happy As hell
I know some very BITTER PEOPLE , I thank GOD tht I'm not like tht at ALL	I know some very BITTER PEOPLE , I thank GOD that I'm not like that at ALL
hey we should hang out and be qt 2gethr 1 day have yr ppl call my ppl	hey we should hang out and be cutie together one day have your people call my people
Meet him FTF for once	Meet him Face to Face for once
mama u tha best lysm	mama you the best love you so much
FWIW	For What Its Worth
PROLLY	Probably
I love ANFSCD by Monty Python ssif	I love And Now For Something Completely Different by Monty Python so stupid it's funny
dat	that
WDYK	What do you know?
MOSS	Member of same sex
wait right here, I will bbiab	wait right here, I will be back in a bit
CMIIW but r u going out 2nite	Correct Me If I am Wrong but are you going out tonight 
lyk slipknot song bif	like slipknot song before I forget
Well Piers , just cuz u're not the bad guy , dz'nt make u the good guy	Well Piers , just because you are not the bad guy , does not make you the good guy
G	Giggle
i wuz SO madly in luv w the dice gal	i was SO madly in love with the dice girl
hey go on and QQ tonight	hey go on and cry tonight
irl i don't rly like 2 be called dani	in real life i don't realy like to be called dani
how much imma spend on food today lmao	how much I am going to spend on food today Laughing out loud
wudnt	would not
imco their songs r cheap	in Considered my opinion their songs are cheap
btw ily keep it up have a great day bye	by the way I love you keep it up have a great day bye
A fashion designer is a tailor thT went to school lol	A fashion designer is a tailor that went to school laughing out loud
bby	baby
Hey peeps	hey people
Only cause I sucked the battery acid out of ur power thing. Yw	Only because I sucked the battery acid out of your power thing. Your welcome
my twitter been PG til yo ass popped up lol	my twitter been rude and offensive until your ass popped up Laughing out loud
fml	fuck my life
LJBF	Let us Just Be Friends
WAJ	What a jerk
QQ	Quick question
2	too
SLM	See Last Mail
I sleep w 4 blankets bc I like to feel different ones at night wbu	I sleep with 4 blankets because I like to feel different ones at night what about you
that's has 2b amazin show!	that's has to be amazing show!
BWQ	Buzz Word Quotient
WWJD	What would Jesus do
both meanings are equally meh tbh	both meanings are equally okay (not satisfied) to be honest
nuff	enough
LMBO	Laughing out loud
txt me bak plz	text me back please
tbh I'm so disguested w the amount of cheating that goes on. If u can't be loyal u should not be in a relationship	to be honest I'm so disguested with the amount of cheating that goes on. If you can't be loyal you should not be in a relationship
stfu yr mom gay lol	Shut the fuck up your mom gay laughing out loud
KHYF	Know How You Feel
Hey govt, can I get my tax refund? Plz and thanxxx	Hey government, can I get my tax refund? Please and thanxxx
CU tomorrow bye for now	see you tomorrow bye for now
MorF	Male or female?
Correct Me If I am Wrong but r u going out tn	Correct Me If I am Wrong but are you going out tonight 
YSIC	Your sister in Christ
Correct Me If I am Wrong but r u goin out tonight	Correct Me If I am Wrong but are you going out tonight 
GIDK	Gee I Do not Know
why bother if u kno u r innocent?	why bother if you know you are innocent?
i logged my personal accounts out bc i dont like my frnds anymore lol jk	i logged my personal accounts out because i dont like my friends anymore lol just kidding
Oh my bby xoxoxo we're here for ya	Oh my baby Kisses and Hugs we're here for you
TCB	Take care of business
u got me confused for a sec lol	you got me confused for a second laughing out loud
GD&R	Grinning, Ducking and Running
U know I'm up and respond plz	you know I'm up and respond please
btw happy bday luv u	by the way happy birthday love you
hhoj ok here's the realistic version	Ha Ha Only joking ok here's the realistic version
I would not trust him with money awttw	I would not trust him with money A word to the wise
Please look @ it	Please look at it
IC	I See
imao their songs r cheap	in Arrogant my opinion their songs are cheap
coz	because
Customized TranSport XLR8 Inshore Saltwater Fishing Boat	Customized TranSport excelerate Inshore Saltwater Fishing Boat
WUU2	What are you up to
if any of u ppl want sample btw lmk	if any of you people want sample by the way let me know
wup baby gal — watching a movie w my family wbu	What's up baby girl — watching a movie with my family what about you
we had fun and then he said "sotmg" wtf?	we had fun and then he said "Short of time, must go" what the fuck?
Goodnight sis Lysm sweet dreams	Goodnight sister love you so much sweet dreams
OB	Obligatory
GLGH	Good Luck and Good Hunting
ROTFLUTS	Rolling on the floor laughing unable to speak
SH^ or QQ	Shut up or cry
ur profile pic mad cute wtf	your profile picture mad cute what the fuck
FTF	Face To Face
YNK	You never know
u are the only one who can cheer me up like that, LYLC	u are the only one who can cheer me up like that, Love you like crazy
SOTMG	Short of time, must go
I've been driving around for 20 mins. SOS	I've been driving around for 20 mins. Help
MDIAC	My Dad is a cop
SUYF	Shut up you fool
uok? I know you two where close	are you okay? I know you two where close
MB	Mamma's boy
WRT	With regard to
OMG LMAO HAHAHAHA	Oh my god Laughing out loud laughing
DK	Do not Know
Her dress Wazznt beau but seriously folks she is pretty as hell	Her dress was not beautiful but seriously folks she is pretty as hell
the acronym C&G is Used to express a light hearted laugh	the acronym Chuckle and Grin is Used to express a light hearted laugh
idk how ppl go their whole lives sober	I do not know how people go their whole lives sober
well YKW they say, Bend Over, Here It Comes Again	well you know what they say, Bend Over, Here It Comes Again
Idk what yall think abt me	I do not know what you all think about me
dont skip ur meds / change it w/o doctor's advise	dont skip your meds / change it without doctor's advise
TANKED	Owned
cause	because
FTL	Faster Than Light
UFN	Until further notice
WAEF	When All Else Fails
plz look at it	Please look at it
how bad u think they r lol they don't look bad to me but ima dude what do I know	how bad you think they are Laughing Out Loud they don't look bad to me but I am a dude what do I know
They're basically the same AFAIK	They are basically the same as far as I know
MLA	Multiple Letter Acronym
SSIF	So stupid it's funny
TFTI	Thanks for the invitation
I love the feeling of cleaning my ears with a Q-tips, I fucking mfi	I love the feeling of cleaning my ears with a Q-tips, I fucking mad for it
nm nm just on a date w my gal , showing her the finer things u know , wbu?	nothing much nothing much just on a date with my girl , showing her the finer things you know , what about you?
Correct Me If I am Wrong but r you going out tonight	Correct Me If I am Wrong but are you going out tonight 
What are the odds that 3 out of the 4 ppl I msg all wake up at the same time LOL	What are the odds that 3 out of the 4 people I message all wake up at the same time Laughing out loud
IT ONLY TOOK 2 DAYS HAHAHAHAH BEAT THAT LOSERS LMAO JK JK LUV YOU GUYS	IT ONLY TOOK TWO DAYS laughing BEAT THAT LOSERS Laughing out loud Just Kidding Just Kidding LOVE YOU GUYS
JMO	Just My Opinion
WYSIWYG	What you see is what you get
coming to stay w me this weekend and y'all best believe we're fixin to b right back on our bs!!!	coming to stay with me this weekend and you all best believe we're fixin to be right back on our bullshit!!!
LYLC	Love you like crazy
bs	bullshit
tbh I prefer my hybrid railgun but YMMV	to be honest I prefer my hybrid railgun but Your mileage may vary
MIRL	Meet in real life
i think im done w ur hair so now we gotta w8 for the pretty pink bb	i think im done with your hair so now we gotta wait for the pretty pink baby
yrw very much	You are welcome very much
WTF i leave twitter when plu were common… nvm	What The Fuck i leave twitter when people like us were common… never mind
NFS	No funny shit
AAMOF	As A Matter Of Fact
This pic omg ...	This picture oh my god ...
the big game iz tomorrow so Be There Or Be Dead	the big game is tomorrow so Be There Or Be Dead
So did someone msg you? R u gay?	So did someone message you? are you gay?
yes pls let us dm i rly wanna be ur friend	yes please let us send direct message (on twitter) i really wanna be your friend
Who were you with last night? Myo	Who were you with last night? Mind your own business
he sent a pic w/ his frands	he sent a picture with his friends
CU tomorrow BBFN	see you tomorrow bye bye for now
YKWYCD	You know what you can do
OMG My mom is calling me for dinner so BCNU later	Oh my God my mom is calling me for dinner so be seeing you later
WTF HAHAHAHA i am laughing so much yg love the ass licking	What The Fuck laughing i am laughing so much young gangster love the ass licking
ADN	Any Day Now
TWSS	That's what she said
SBT	Sorry about that
omg I'm having dinner right now and the next stall is playing the best ost ever	oh my god I'm having dinner right now and the next stall is playing the best original soundtrack ever
phone dry asl some1 txt me	phone dry as hell some one text me
OWTTE	Or Words To That Effect
btw so many ppl using it bc of the new friend finder	by the way so many people using it because of the new friend finder
Idk what shes doing tbh	I do not know what shes doing to be honest
2b	to be
g2g BFN	got to go Bye for now
CMIIW but r you going out tonight	Correct Me If I am Wrong but are you going out tonight 
how am i? well, nino	how am i? well, Nothing In, Nothing Out
